"A joint field with this alias (%s) is already declared.","Un champ de jointure a déjà été déclaré avec cet alias (%s)."
"Add Option","Ajouter une option"
"An error occurred while loading a record, aborting. Error: %s","Erreur lors du chargement d'un enregistrement. Erreur : %s"
"An error occurred while loading the collection, aborting. Error: %s","Erreur lors du chargement d'une collection. Erreur : %s"
"An error occurred while saving a record, aborting. Error: ","Erreur lors de la sauvegarde d'un enregistrement. Erreur : "
"Attempt to add an invalid object.","Tentative d'ajout d'un objet invalide."
"Attribute '%s' used in configurable products.","Attribut '%s' utilisé dans les produits configurables."
"Attribute Code","Code"
"Attribute Label","Libellé"
"Attribute Properties","Propriétés de l'attribut"
"Attribute set with the ""%s"" name already exists.","Il existe déjà un jeu d'attributs portant le nom ""%s""."
"Attribute with the same code","Attribut avec le même code"
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Data integrity: No header row found for attribute.","Intégrité des données : aucune ligne d'en-tête trouvée pour l'attribut."
"Date","Date"
"Decimal Number","Nombre décimal"
"Default Product Listing Sort by not exists on Available Product Listing Sort By","Le tri par défaut pour les listes de produits n'existe pas dans la liste des valeurs possibles"
"Default Value","Valeur par défaut"
"Default option value is not defined.","La valeur par défaut de l'option n'est pas définie."
"Delete","Supprimer"
"Dropdown","Liste déroulante"
"Email","Email"
"Entity collection expected.","Collection d'entités attendue."
"Entity collections expected.","Collections d'entités attendues."
"Entity is not initialized.","L'entité n'est pas initialisée."
"Failed to load node %s from config.","Impossible de charger le nœud %s depuis la configuration."
"For internal use. Must be unique with no spaces","Usage interne. Doit être unique et sans espace"
"Form Element with the same attribute","Il existe déjà un élément de formulaire avec le même attribut"
"Form Fieldset with the same code","Il existe déjà un groupe de champs de formulaire avec le même code"
"Form Type with the same code","Il existe déjà un type de formulaire avec le même code"
"Frontend label is not defined.","Le libellé de front office n'est pas défini."
"Input Validation for Store Owner","Validation requise"
"Integer Number","Nombre entier"
"Invalid EAV attribute.","Attribut EAV invalide."
"Invalid alias, already exists in joint attributes.","Alias invalide, déjà utilisé dans les attributs de jointure."
"Invalid attribute name: %s.","Nom d'attribut invalide : %s."
"Invalid attribute requested: %s","Attribut non valide exigé : %s"
"Invalid attribute type.","Type d'attribut invalide."
"Invalid character encountered in increment ID: %s","Caractère non valide trouvé dans l'ID d'incrément : %s"
"Invalid entity specified","Entité spécifiée non valide"
"Invalid entity supplied.","L'entité fournie n'est pas valide."
"Invalid entity supplied: %s.","L'entité fournie n'est pas valide : %s."
"Invalid entity type.","Type d'entité invalide."
"Invalid entity_id, skipping the record.","entity_id non valide, enregistrement ignoré"
"Invalid entity_type specified: %s","entity_type non valide : %s"
"Invalid foreign key.","Clé étrangère invalide."
"Invalid form type.","Type de formulaire invalide."
"Invalid joint fields.","Champs de jointure invalides."
"Invalid store specified","Magasin spécifié non valide"
"Joined field with this alias is already declared.","Il existe déjà un champ de jointure portant cet alias."
"Joint field or attribute expression with this alias is already declared.","Il existe déjà un champ de jointure ou une expression d'attribut portant cet alias."
"Letters","Lettres"
"Letters (a-z, A-Z) or Numbers (0-9)","Lettres (a-z, A-Z) ou chiffres (0-9)"
"Loaded %d records","%d enregistrement(s) chargé(s)"
"Multiple Select","Sélection multiple"
"No","Non"
"No options found in config node %s","Aucune option trouvée dans le noeud de configuration %s"
"None","Aucun"
"Not shared with other products","Non partagé avec les autres produits"
"Problem loading the collection, aborting. Error: %s","Problème lors du chargement de la collection. Annulation. Erreur : %s"
"Problem saving the collection, aborting. Error: %s","Problème lors de la sauvegarde de la collection. Annulation. Erreur : %s"
"Required","Obligatoire"
"Saved %d record(s).","%d enregistrement(s) sauvegardé(s)"
"Scope must not be changed, because the attribute is used in configurable products.","La portée ne doit pas être modifiée car l'attribut est utilisé dans des produits configurables."
"System","Système"
"Text Area","Zone de texte"
"Text Field","Champ texte"
"The attribute code \'%s\' is reserved by system. Please try another attribute code.","Le code d\'attribut \'%s\' est réservé par le système. Choisissez-en un autre."
"The value of attribute ""%s"" must be unique.","La valeur de l'attribut ""%s"" doit être unique."
"This attribute is used in configurable products.","Cet attribut est utilisé dans les produits configurables."
"URL","URL"
"Unique Value","Valeur unique"
"Unique Value (not shared with other products)","Valeur unique (non partagée avec les autres produits)"
"Unknown parameter.","Paramètre inconnu."
"Valid store_id is expected!","Un store_id valide est attendu !"
"Values Required","Valeurs requises"
"Wrong attribute ID.","Mauvais identifiant d'attribut."
"Wrong attribute group ID.","Mauvais identifiant de groupe d'attributs."
"Wrong attribute set ID.","Mauvais identifiant de jeu d'attributs."
"Wrong entity ID.","Mauvais identifiant d'entité."
"Yes","Oui"
"Yes/No","Oui/Non"
"An error occurred while saving a record, aborting. Error:","Erreur lors de la sauvegarde d'un enregistrement. Erreur :"
"The attribute code '%s' is reserved by system. Please try another attribute code.","Le code d\'attribut \'%s\' est réservé par le système. Choisissez-en un autre."
